pip_value estimasi: 1.0 (override dengan --pipval)

Backtest: XAUUSD | step=4 | trail=OFF
CSV: ../data/XAUUSD_GMT+0_NO-DST_M15.csv
  132,634 candle M15 | 2020-01-01 23:00:00 s/d 2025-08-11 23:45:00
Estimasi 33,096 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=8,974 bars | D1=1,743 bars
   35.7% | bar=47,574/132,634 | trades=380 | equity=$2,081.22 | ETA=8.7min
   37.7% | bar=50,206/132,634 | trades=390 | equity=$2,072.48 | ETA=8.6min
   37.7% | bar=50,218/132,634 | trades=390 | equity=$2,072.48 | ETA=8.6min
   37.8% | bar=50,346/132,634 | trades=390 | equity=$2,072.48 | ETA=8.6min
   38.4% | bar=51,114/132,634 | trades=400 | equity=$2,029.70 | ETA=8.5min
   38.4% | bar=51,122/132,634 | trades=400 | equity=$2,029.70 | ETA=8.5min
   38.4% | bar=51,146/132,634 | trades=400 | equity=$2,029.70 | ETA=8.5min
   38.8% | bar=51,598/132,634 | trades=410 | equity=$2,039.74 | ETA=8.5min
   38.8% | bar=51,602/132,634 | trades=410 | equity=$2,039.74 | ETA=8.5min
   38.8% | bar=51,606/132,634 | trades=410 | equity=$2,039.74 | ETA=8.5min
   39.2% | bar=52,146/132,634 | trades=420 | equity=$2,132.76 | ETA=8.4min
   39.2% | bar=52,194/132,634 | trades=420 | equity=$2,132.76 | ETA=8.4min
   39.2% | bar=52,198/132,634 | trades=420 | equity=$2,132.76 | ETA=8.4min
   39.2% | bar=52,202/132,634 | trades=420 | equity=$2,132.76 | ETA=8.4min
   39.2% | bar=52,206/132,634 | trades=420 | equity=$2,132.76 | ETA=8.4min
   39.6% | bar=52,622/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   39.6% | bar=52,634/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   39.6% | bar=52,638/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   39.6% | bar=52,642/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   39.6% | bar=52,690/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   39.6% | bar=52,694/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   39.6% | bar=52,706/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   39.7% | bar=52,782/132,634 | trades=430 | equity=$2,155.46 | ETA=8.3min
   40.5% | bar=53,902/132,634 | trades=440 | equity=$2,197.51 | ETA=8.2min
   40.5% | bar=53,906/132,634 | trades=440 | equity=$2,197.51 | ETA=8.2min
   40.5% | bar=53,910/132,634 | trades=440 | equity=$2,197.51 | ETA=8.2min
   40.5% | bar=53,914/132,634 | trades=440 | equity=$2,197.51 | ETA=8.2min
   41.0% | bar=54,582/132,634 | trades=450 | equity=$2,205.76 | ETA=8.1min
   41.1% | bar=54,598/132,634 | trades=450 | equity=$2,205.76 | ETA=8.1min
   41.1% | bar=54,622/132,634 | trades=450 | equity=$2,205.76 | ETA=8.1min
   41.1% | bar=54,630/132,634 | trades=450 | equity=$2,205.76 | ETA=8.1min
   41.2% | bar=54,750/132,634 | trades=450 | equity=$2,205.76 | ETA=8.1min
   41.2% | bar=54,798/132,634 | trades=450 | equity=$2,205.76 | ETA=8.1min
   41.6% | bar=55,322/132,634 | trades=460 | equity=$2,224.81 | ETA=8.1min
   41.6% | bar=55,326/132,634 | trades=460 | equity=$2,224.81 | ETA=8.1min
   41.6% | bar=55,330/132,634 | trades=460 | equity=$2,224.81 | ETA=8.1min
   41.6% | bar=55,334/132,634 | trades=460 | equity=$2,224.81 | ETA=8.1min
   42.1% | bar=56,010/132,634 | trades=470 | equity=$2,210.54 | ETA=8.0min
   42.1% | bar=56,014/132,634 | trades=470 | equity=$2,210.54 | ETA=8.0min
   42.1% | bar=56,038/132,634 | trades=470 | equity=$2,210.54 | ETA=8.0min
   42.2% | bar=56,098/132,634 | trades=470 | equity=$2,210.54 | ETA=8.0min
   43.5% | bar=57,878/132,634 | trades=480 | equity=$2,228.93 | ETA=7.9min
   44.3% | bar=58,938/132,634 | trades=490 | equity=$2,185.57 | ETA=7.8min
   44.3% | bar=58,942/132,634 | trades=490 | equity=$2,185.57 | ETA=7.8min
   44.3% | bar=58,946/132,634 | trades=490 | equity=$2,185.57 | ETA=7.8min
   44.3% | bar=58,950/132,634 | trades=490 | equity=$2,185.57 | ETA=7.8min
